id,team,country,league,season_start,season_end,final_league_pos,home_matches,home_wins,home_draws,home_losses,home_win_rate,home_draw_rate,home_loss_rate,home_points_per_match,home_goals_for,home_goals_for_per_90,home_goals_against,home_goals_against_per_90,home_xg,home_xg_avg,away_matches,away_wins,away_draws,away_losses,away_win_rate,away_draw_rate,away_loss_rate,away_points_per_match,away_goals_for,away_goals_for_per_90,away_goals_against,away_goals_against_per_90,away_xg,away_xg_avg,home_penalties_won,home_penalties_conceded,away_penalties_won,away_penalties_conceded,home_fouls_won_avg,home_fouls_conceded_avg,home_yellow_cards_won,home_yellow_cards_conceded,home_red_cards_won,home_red_conceded,away_fouls_won_avg,away_fouls_conceded_avg,away_yellow_cards_won,away_yellow_cards_conceded,away_red_cards_won,away_red_cards_conceded
1,Hoffenheim,de,Bundesliga,2014,2015,8,17,9,3,5,0.529411765,0.176470588,0.294117647,1.76,31,1.823529412,26,1.529411765,,,17,3,5,9,0.176470588,0.294117647,0.529411765,0.82,18,1.058823529,29,1.705882353,,,2,,3,,178.2352941,162.3529412,25.29411765,20,2.352941176,0,181.1764706,190.5882353,19.41176471,18.82352941,1.176470588,1.176470588
2,Udinese,it,Serie A,2014,2015,16,19,6,5,8,0.315789474,0.263157895,0.421052632,1.21,26,1.368421053,29,1.526315789,,,19,4,6,9,0.210526316,0.315789474,0.473684211,0.95,17,0.894736842,27,1.421052632,,,1,,0,,143.1578947,130,25.78947368,21.05263158,0.526315789,1.578947368,136.8421053,150,20.52631579,26.84210526,2.105263158,1.578947368
3,Bayern Munich,de,Bundesliga,2014,2015,1,17,14,1,2,0.823529412,0.058823529,0.117647059,2.53,46,2.705882353,7,0.411764706,,,17,11,3,3,0.647058824,0.176470588,0.176470588,2.12,34,2,11,0.647058824,,,4,,2,,126.4705882,103.5294118,13.52941176,6.470588235,0.588235294,1.176470588,162.9411765,140,16.47058824,15.29411765,0.588235294,0
4,Augsburg,de,Bundesliga,2014,2015,5,17,9,4,4,0.529411765,0.235294118,0.235294118,1.82,28,1.647058824,21,1.235294118,,,17,6,0,11,0.352941176,0,0.647058824,1.06,15,0.882352941,22,1.294117647,,,6,,2,,170,163.5294118,24.70588235,15.29411765,0.588235294,1.176470588,150,161.1764706,18.23529412,20.58823529,1.764705882,0.588235294
5,Hellas Verona,it,Serie A,2014,2015,13,19,7,5,7,0.368421053,0.263157895,0.368421053,1.37,27,1.421052632,30,1.578947368,,,19,4,8,7,0.210526316,0.421052632,0.368421053,1.05,22,1.157894737,35,1.842105263,,,3,,3,,,,,,,,,,,,,
6,Torino,it,Serie A,2014,2015,9,19,8,7,4,0.421052632,0.368421053,0.210526316,1.63,25,1.315789474,14,0.736842105,,,19,6,5,8,0.315789474,0.263157895,0.421052632,1.21,23,1.210526316,31,1.631578947,,,4,,2,,137.3684211,130,23.15789474,20.52631579,1.578947368,0,151.5789474,155.7894737,23.68421053,30,2.105263158,1.578947368
7,Bordeaux,fr,Ligue 1,2014,2015,6,19,12,5,2,0.631578947,0.263157895,0.105263158,2.16,31,1.631578947,23,1.210526316,,,19,5,7,7,0.263157895,0.368421053,0.368421053,1.16,16,0.842105263,21,1.105263158,,,5,,3,,145.2631579,116.8421053,22.63157895,10,0,1.052631579,145.2631579,147.8947368,15.26315789,22.10526316,1.578947368,1.578947368
8,Nice,fr,Ligue 1,2014,2015,11,19,6,6,7,0.315789474,0.315789474,0.368421053,1.26,21,1.105263158,24,1.263157895,,,19,7,3,9,0.368421053,0.157894737,0.473684211,1.26,23,1.210526316,29,1.526315789,,,1,,3,,157.8947368,133.1578947,18.42105263,20,1.578947368,1.052631579,142.6315789,154.2105263,18.94736842,24.21052632,0.526315789,2.105263158
9,Stoke City,eng,Premier League,2014,2015,9,19,10,3,6,0.526315789,0.157894737,0.315789474,1.74,32,1.684210526,22,1.157894737,,,19,5,6,8,0.263157895,0.315789474,0.421052632,1.11,16,0.842105263,23,1.210526316,,,1,,2,,,,,,,,,,,,,
10,Arsenal,eng,Premier League,2014,2015,3,19,12,5,2,0.631578947,0.263157895,0.105263158,2.16,41,2.157894737,14,0.736842105,,,19,10,4,5,0.526315789,0.210526316,0.263157895,1.79,30,1.578947368,22,1.157894737,,,3,,4,,114.7368421,94.21052632,18.94736842,14.21052632,1.052631579,0.526315789,117.3684211,104.2105263,21.57894737,21.57894737,0.526315789,0.526315789
11,Manchester Utd,eng,Premier League,2014,2015,4,19,14,2,3,0.736842105,0.105263158,0.157894737,2.32,41,2.157894737,15,0.789473684,,,19,6,8,5,0.315789474,0.421052632,0.263157895,1.37,21,1.105263158,22,1.157894737,,,3,,2,,,,,,,,,,,,,
12,Málaga,es,La Liga,2014,2015,9,19,8,6,5,0.421052632,0.315789474,0.263157895,1.58,26,1.368421053,20,1.052631579,,,19,6,2,11,0.315789474,0.105263158,0.578947368,1.05,16,0.842105263,28,1.473684211,,,6,,1,,,,,,,,,,,,,
13,Barcelona,es,La Liga,2014,2015,1,19,16,1,2,0.842105263,0.052631579,0.105263158,2.58,64,3.368421053,11,0.578947368,,,19,14,3,2,0.736842105,0.157894737,0.105263158,2.37,46,2.421052632,10,0.526315789,,,3,,4,,136.3157895,103.6842105,25.78947368,16.31578947,0.526315789,1.052631579,170,90.52631579,26.84210526,18.42105263,3.684210526,0.526315789
14,Hamburger SV,de,Bundesliga,2014,2015,16,17,6,5,6,0.352941176,0.294117647,0.352941176,1.35,16,0.941176471,18,1.058823529,,,17,3,3,11,0.176470588,0.176470588,0.647058824,0.71,9,0.529411765,32,1.882352941,,,2,,1,,,,,,,,,,,,,
15,Hertha BSC,de,Bundesliga,2014,2015,15,17,6,4,7,0.352941176,0.235294118,0.411764706,1.29,17,1,22,1.294117647,,,17,3,4,10,0.176470588,0.235294118,0.588235294,0.76,19,1.117647059,30,1.764705882,,,1,,2,,,,,,,,,,,,,
16,Montpellier,fr,Ligue 1,2014,2015,7,19,11,2,6,0.578947368,0.105263158,0.315789474,1.84,30,1.578947368,21,1.105263158,,,19,5,6,8,0.263157895,0.315789474,0.421052632,1.11,16,0.842105263,18,0.947368421,,,3,,3,,192.1052632,136.3157895,20.52631579,13.15789474,1.052631579,0.526315789,151.0526316,136.3157895,14.73684211,13.68421053,0.526315789,0
17,Cesena,it,Serie A,2014,2015,19,19,3,7,9,0.157894737,0.368421053,0.473684211,0.84,19,1,31,1.631578947,,,19,1,5,13,0.052631579,0.263157895,0.684210526,0.42,17,0.894736842,42,2.210526316,,,4,,2,,154.7368421,162.6315789,18.94736842,26.84210526,0.526315789,1.052631579,146.3157895,169.4736842,22.10526316,26.84210526,0,1.052631579
18,La Coruña,es,La Liga,2014,2015,16,19,5,6,8,0.263157895,0.315789474,0.421052632,1.11,22,1.157894737,30,1.578947368,,,19,2,8,9,0.105263158,0.421052632,0.473684211,0.74,13,0.684210526,30,1.578947368,,,4,,3,,,,,,,,,,,,,
19,Villarreal,es,La Liga,2014,2015,6,19,12,1,6,0.631578947,0.052631579,0.315789474,1.95,29,1.526315789,17,0.894736842,,,19,4,11,4,0.210526316,0.578947368,0.210526316,1.21,19,1,20,1.052631579,,,1,,1,,126.8421053,120,20,15.26315789,0,0.526315789,126.3157895,156.8421053,24.21052632,34.21052632,1.052631579,0.526315789
20,Athletic Club,es,La Liga,2014,2015,7,19,8,6,5,0.421052632,0.315789474,0.263157895,1.58,28,1.473684211,20,1.052631579,,,19,7,4,8,0.368421053,0.210526316,0.421052632,1.32,14,0.736842105,21,1.105263158,,,4,,1,,,,,,,,,,,,,
21,Gladbach,de,Bundesliga,2014,2015,3,17,12,3,2,0.705882353,0.176470588,0.117647059,2.29,32,1.882352941,14,0.823529412,,,17,7,6,4,0.411764706,0.352941176,0.235294118,1.59,21,1.235294118,12,0.705882353,,,1,,2,,,,,,,,,,,,,
22,Southampton,eng,Premier League,2014,2015,7,19,11,4,4,0.578947368,0.210526316,0.210526316,1.95,37,1.947368421,13,0.684210526,,,19,7,2,10,0.368421053,0.105263158,0.526315789,1.21,17,0.894736842,20,1.052631579,,,1,,2,,103.6842105,122.1052632,15.78947368,12.10526316,1.052631579,1.052631579,115.7894737,124.2105263,11.57894737,17.89473684,0.526315789,0.526315789
23,Tottenham,eng,Premier League,2014,2015,5,19,10,3,6,0.526315789,0.157894737,0.315789474,1.74,31,1.631578947,24,1.263157895,,,19,9,4,6,0.473684211,0.210526316,0.315789474,1.63,27,1.421052632,29,1.526315789,,,3,,2,,98.42105263,115.2631579,19.47368421,19.47368421,0.526315789,0.526315789,107.8947368,116.8421053,20.52631579,22.10526316,1.578947368,1.578947368
24,Toulouse,fr,Ligue 1,2014,2015,17,19,8,6,5,0.421052632,0.315789474,0.263157895,1.58,28,1.473684211,29,1.526315789,,,19,4,0,15,0.210526316,0,0.789473684,0.63,15,0.789473684,35,1.842105263,,,3,,1,,153.1578947,144.7368421,16.84210526,14.73684211,1.052631579,0,135.7894737,159.4736842,14.21052632,17.36842105,1.052631579,2.631578947
25,Fiorentina,it,Serie A,2014,2015,4,19,9,6,4,0.473684211,0.315789474,0.210526316,1.74,30,1.578947368,17,0.894736842,,,19,9,4,6,0.473684211,0.210526316,0.315789474,1.63,31,1.631578947,29,1.526315789,,,3,,4,,152.6315789,122.1052632,27.89473684,18.94736842,1.052631579,0,152.1052632,160.5263158,24.21052632,23.68421053,1.052631579,1.578947368
26,Crystal Palace,eng,Premier League,2014,2015,10,19,6,3,10,0.315789474,0.157894737,0.526315789,1.11,21,1.105263158,27,1.421052632,,,19,7,6,6,0.368421053,0.315789474,0.315789474,1.42,26,1.368421053,24,1.263157895,,,1,,5,,123.1578947,142.1052632,18.42105263,13.68421053,0.526315789,1.052631579,114.2105263,135.2631579,16.84210526,19.47368421,0,1.052631579
27,Wolfsburg,de,Bundesliga,2014,2015,2,17,13,4,0,0.764705882,0.235294118,0,2.53,38,2.235294118,13,0.764705882,,,17,7,5,5,0.411764706,0.294117647,0.294117647,1.53,34,2,25,1.470588235,,,4,,0,,138.8235294,128.2352941,15.88235294,14.11764706,0.588235294,0,135.8823529,138.8235294,14.11764706,11.76470588,1.176470588,0.588235294
28,Real Madrid,es,La Liga,2014,2015,2,19,16,2,1,0.842105263,0.105263158,0.052631579,2.63,65,3.421052632,15,0.789473684,,,19,14,0,5,0.736842105,0,0.263157895,2.21,53,2.789473684,23,1.210526316,,,9,,4,,152.6315789,105.7894737,30.52631579,19.47368421,0,0.526315789,152.6315789,108.4210526,29.47368421,25.26315789,0.526315789,1.052631579
29,Marseille,fr,Ligue 1,2014,2015,4,19,13,2,4,0.684210526,0.105263158,0.210526316,2.16,40,2.105263158,22,1.157894737,,,19,8,4,7,0.421052632,0.210526316,0.368421053,1.47,36,1.894736842,20,1.052631579,,,2,,2,,151.0526316,125.2631579,17.36842105,13.68421053,0,2.105263158,162.1052632,165.2631579,14.21052632,20.52631579,0.526315789,1.052631579
30,Stuttgart,de,Bundesliga,2014,2015,14,17,5,4,8,0.294117647,0.235294118,0.470588235,1.12,18,1.058823529,28,1.647058824,,,17,4,5,8,0.235294118,0.294117647,0.470588235,1,24,1.411764706,32,1.882352941,,,1,,0,,161.7647059,150.5882353,20,15.88235294,0.588235294,1.764705882,154.7058824,145.8823529,20,18.82352941,1.764705882,1.176470588
31,Córdoba,es,La Liga,2014,2015,20,19,1,6,12,0.052631579,0.315789474,0.631578947,0.47,12,0.631578947,33,1.736842105,,,19,2,5,12,0.105263158,0.263157895,0.631578947,0.58,10,0.526315789,35,1.842105263,,,3,,0,,,,,,,,,,,,,
32,Hannover 96,de,Bundesliga,2014,2015,13,17,6,4,7,0.352941176,0.235294118,0.411764706,1.29,21,1.235294118,25,1.470588235,,,17,3,6,8,0.176470588,0.352941176,0.470588235,0.88,19,1.117647059,31,1.823529412,,,2,,1,,,,,,,,,,,,,
33,West Brom,eng,Premier League,2014,2015,13,19,7,4,8,0.368421053,0.210526316,0.421052632,1.32,24,1.263157895,26,1.368421053,,,19,4,7,8,0.210526316,0.368421053,0.421052632,1,14,0.736842105,25,1.315789474,,,3,,2,,115.2631579,103.6842105,13.68421053,17.89473684,1.052631579,0.526315789,105.2631579,118.9473684,12.10526316,15.78947368,0,1.052631579
34,Bastia,fr,Ligue 1,2014,2015,12,19,8,7,4,0.421052632,0.368421053,0.210526316,1.63,24,1.263157895,18,0.947368421,,,19,4,4,11,0.210526316,0.210526316,0.578947368,0.84,13,0.684210526,28,1.473684211,,,4,,1,,147.3684211,158.9473684,20,22.63157895,2.105263158,1.052631579,121.0526316,139.4736842,13.68421053,17.36842105,0.526315789,1.578947368
